,GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs,GlobalRank_percentile
173692,173693,9647,mcponline.org,org,1083,1233,mcponline.org,org,174887,9628,1086,1231,17
178784,178785,90421,sounddogs.com,com,1055,1225,sounddogs.com,com,176438,89169,1077,1228,17
170349,170350,2999,oddluzanie.net,net,1102,1411,oddluzanie.net,net,172034,3003,1102,1403,17
172780,172781,87992,cinemaclock.com,com,1088,1313,cinemaclock.com,com,172992,87720,1097,1327,17
177577,177578,89934,vakilsearch.com,com,1061,1732,vakilsearch.com,com,181472,91367,1047,1709,17
176261,176262,89390,txxx.com,com,1068,2243,txxx.com,com,179252,90369,1060,2208,17
172005,172006,85,testimonial.to,to,1092,1535,testimonial.to,to,173237,85,1095,1532,17
171010,171011,87226,theworldfolio.com,com,1098,1425,theworldfolio.com,com,171304,87018,1106,1427,17
183470,183471,92419,fluidseparation.com,com,1029,1173,fluidseparation.com,com,184787,92784,1028,1175,18
184754,184755,92942,realmailorderbride.com,com,1022,1207,realmailorderbride.com,com,185124,92945,1026,1223,18
182544,182545,92019,elitereaders.com,com,1034,1387,elitereaders.com,com,180117,90737,1055,1389,18
183835,183836,92564,diynot.com,com,1027,1235,diynot.com,com,186603,93641,1017,1225,18
182622,182623,92051,tampatrib.com,com,1034,1232,tampatrib.com,com,184119,92485,1032,1227,18
183384,183385,92372,limeade.com,com,1029,1348,limeade.com,com,184703,92749,1028,1355,18
188464,188465,94602,yueduqq.com,com,1001,4601,yueduqq.com,com,183160,92079,1037,4606,18
188686,188687,3487,tsukaeru.net,net,1000,1524,tsukaeru.net,net,188698,3489,1004,1528,18
182458,182459,91982,mejores-webcams.com,com,1035,1251,mejores-webcams.com,com,184611,92711,1029,1248,18
187529,187530,94177,0597quan.com,com,1006,4750,0597quan.com,com,183347,92157,1036,4776,18
198603,198604,99385,outhere-music.com,com,944,1197,outhere-music.com,com,199360,99717,942,1198,19
195289,195290,97787,traderepublic.com,com,963,1336,traderepublic.com,com,193197,96763,977,1338,19
199498,199499,99838,employmenthero.com,com,939,1223,employmenthero.com,com,198594,99366,946,1237,19
193140,193141,96786,psychnewsdaily.com,com,975,1334,psychnewsdaily.com,com,189833,95140,997,1383,19
193441,193442,96915,giorgioarmani.com,com,974,1131,giorgioarmani.com,com,193484,96902,976,1139,19
199889,199890,11705,azlawhelp.org,org,937,1213,azlawhelp.org,org,199351,11674,942,1214,19
196074,196075,11366,bioedge.org,org,959,1163,bioedge.org,org,197659,11514,952,1165,19
197304,197305,98751,in-win.com,com,952,1083,in-win.com,com,200950,100478,934,1066,19
192324,192325,96409,withoutabox.com,com,980,1191,withoutabox.com,com,191909,96153,985,1187,19
190972,190973,34,therebel.media,media,987,1309,therebel.media,media,191384,32,988,1286,19
204158,204159,102064,jungledisk.com,com,916,1080,jungledisk.com,com,205976,102891,909,1094,20
209568,209569,104673,xpantifungusp.com,com,890,1051,xpantifungusp.com,com,209358,104492,893,1056,20
204422,204423,102204,ntdaily.com,com,914,1340,ntdaily.com,com,205655,102752,910,1336,20
206616,206617,12341,gci.org,org,904,1083,gci.org,org,197836,11537,951,1145,20
200737,200738,11771,manifesta.org,org,933,1112,manifesta.org,org,203125,12001,923,1121,20
206568,206569,103211,thecheapsexcams.com,com,904,1124,thecheapsexcams.com,com,206559,103170,906,1123,20
207878,207879,103835,yogile.com,com,898,1083,yogile.com,com,209142,104393,894,1072,20
209044,209045,12570,tfp.org,org,892,1125,tfp.org,org,208880,12553,895,1126,20
207109,207110,103483,teechip.com,com,901,1392,teechip.com,com,204026,101947,918,1407,20
204503,204504,562,slotoking.info,info,914,1139,slotoking.info,info,205934,570,909,1134,20
215525,215526,107482,myhottiewife.com,com,863,1088,myhottiewife.com,com,214811,107090,868,1096,21
213632,213633,106598,lec-jp.com,com,871,1412,lec-jp.com,com,214030,106760,871,1414,21
215227,215228,107338,watchshopping.com,com,864,1341,watchshopping.com,com,214980,107170,867,1335,21
213816,213817,13006,local-hookup.org,org,871,1005,local-hookup.org,org,215825,13200,864,991,21
215590,215591,107518,kamkak.com,com,863,1035,kamkak.com,com,217894,108521,855,1030,21
210862,210863,12732,thisibelieve.org,org,884,1086,thisibelieve.org,org,209532,12607,892,1085,21
218656,218657,108910,acosmin.com,com,850,1028,acosmin.com,com,219086,109059,850,1021,21
219096,219097,109120,gdax.com,com,848,1045,gdax.com,com,220542,109769,844,1038,21
218820,218821,108979,conference-oxford.com,com,849,1089,conference-oxford.com,com,218754,108908,851,1092,21
214243,214244,4344,rakehama.net,net,869,1038,rakehama.net,net,215124,4371,867,1033,21
228281,228282,14345,plantnet-project.org,org,812,1025,plantnet-project.org,org,223844,13949,831,1029,22
222303,222304,4611,rcweb.net,net,835,1036,rcweb.net,net,223347,4635,833,1034,22
223992,223993,111411,kinterrababy.com,com,829,897,kinterrababy.com,com,226954,112785,820,889,22
224626,224627,111722,sunriji.com,com,826,999,sunriji.com,com,226047,112359,823,998,22
223009,223010,13911,nwnewsnetwork.org,org,832,1081,nwnewsnetwork.org,org,218070,13414,854,1099,22
228879,228880,113733,proform.com,com,810,1026,proform.com,com,233160,115591,797,1017,22
226419,226420,112592,usjournal.com,com,819,999,usjournal.com,com,223636,111232,832,1006,22
224189,224190,111500,allfreead.com,com,828,970,allfreead.com,com,226886,112750,820,972,22
226160,226161,14156,greenroofs.org,org,820,997,greenroofs.org,org,228426,14348,814,996,22
224316,224317,111567,nakka.com,com,827,1039,nakka.com,com,227615,113070,817,1029,22
239266,239267,118563,thegoring.com,com,774,975,thegoring.com,com,241492,119456,769,979,23
232605,232606,4968,777hn.net,net,797,919,777hn.net,net,232474,4933,800,921,23
239107,239108,118486,archiseek.com,com,775,915,archiseek.com,com,239202,118383,777,915,23
236651,236652,117357,emanuellevy.com,com,783,959,emanuellevy.com,com,235548,116672,789,967,23
236066,236067,728,ipinfo.info,info,785,943,ipinfo.info,info,234147,715,794,948,23
233601,233602,115953,salesforceventures.com,com,793,1025,salesforceventures.com,com,244548,120831,759,976,23
232450,232451,943,olympiawa.gov,gov,797,1009,olympiawa.gov,gov,234331,948,793,1005,23
230735,230736,114617,yext-wrap.com,com,803,1065,yext-wrap.com,com,229747,114022,809,1059,23
237108,237109,117590,savoteur.com,com,781,1204,savoteur.com,com,236922,117342,784,1204,23
237060,237061,117565,timeyespr.com,com,782,835,timeyespr.com,com,238339,117984,780,833,23
245509,245510,121380,bravebabes.com,com,754,1045,bravebabes.com,com,243534,120367,762,1083,24
245616,245617,69,undertow.club,club,754,930,undertow.club,club,243041,68,764,937,24
249389,249390,123179,strangecosmos.com,com,743,814,strangecosmos.com,com,250876,123779,740,818,24
248955,248956,122990,bq818.com,com,744,900,bq818.com,com,249195,122971,745,898,24
242778,242779,1011,accessibilityinsights.io,io,763,931,accessibilityinsights.io,io,245285,1021,757,922,24
240124,240125,118968,nlintheusa.com,com,771,1177,nlintheusa.com,com,241432,119425,769,1181,24
247858,247859,213,fastbookmarks.win,win,747,933,fastbookmarks.win,win,252627,216,734,921,24
245448,245449,15814,countryrv.org,org,755,829,countryrv.org,org,246418,15883,754,823,24
244775,244776,121070,listentoyoutube.com,com,757,856,listentoyoutube.com,com,250260,123471,742,848,24
244807,244808,121084,hssys168.com,com,756,2712,hssys168.com,com,238347,117989,779,2728,24
259135,259136,127811,katatonia.com,com,714,856,katatonia.com,com,260895,128649,710,852,25
256749,256750,126670,clipland.com,com,721,843,clipland.com,com,254181,125403,730,844,25
259934,259935,17107,flashrom.org,org,712,794,flashrom.org,org,257266,16864,721,799,25
251633,251634,124221,changsh.com,com,736,872,changsh.com,com,253117,124855,733,870,25
252637,252638,124698,commongroundalliance.com,com,733,855,commongroundalliance.com,com,254173,125398,730,849,25
255401,255402,126018,organic.com,com,725,834,organic.com,com,254195,125406,730,836,25
259253,259254,127870,bigberkeywaterfilters.com,com,713,1420,bigberkeywaterfilters.com,com,262127,129289,706,1406,25
251619,251620,124217,cdcgroup.com,com,736,876,cdcgroup.com,com,253400,124988,732,884,25
252644,252645,124701,marketinginasia.com,com,733,854,marketinginasia.com,com,254791,125704,728,867,25
259121,259122,127807,woodlanddirect.com,com,714,860,woodlanddirect.com,com,260855,128631,710,869,25
261497,261498,128939,fissler.com,com,707,877,fissler.com,com,256088,126319,724,890,26
267024,267025,5,prazosin.gives,gives,692,791,prazosin.gives,gives,267061,5,693,796,26
266388,266389,6157,dataskydd.net,net,693,890,dataskydd.net,net,269305,6232,686,883,26
269655,269656,132931,ahwanzheng.com,com,685,750,ahwanzheng.com,com,268859,132563,688,752,26
265144,265145,130758,gacor.com,com,697,807,gacor.com,com,263443,129917,703,807,26
261231,261232,128806,aveleyman.com,com,708,839,aveleyman.com,com,258590,127486,717,847,26
267276,267277,131779,mushroomnetworks.com,com,691,828,mushroomnetworks.com,com,269376,132814,686,840,26
263902,263903,130130,islandpackers.com,com,700,918,islandpackers.com,com,262896,129676,704,908,26
266908,266909,131609,eurochocolate.com,com,692,836,eurochocolate.com,com,268007,132152,690,838,26
265019,265020,130688,010-8572-3691.com,com,697,852,010-8572-3691.com,com,265852,131088,696,846,26
274655,274656,135372,fuyanglizini.com,com,671,1988,fuyanglizini.com,com,263866,130120,701,2073,27
277007,277008,136475,nationalfertilizers.com,com,665,867,nationalfertilizers.com,com,278414,137131,662,852,27
272726,272727,134431,shemedia.com,com,676,1458,shemedia.com,com,271462,133844,680,1469,27
274551,274552,6411,technoonline.net,net,672,781,technoonline.net,net,273940,6386,674,782,27
275584,275585,18550,formik.org,org,669,802,formik.org,org,269114,17916,687,812,27
271265,271266,133714,slocal.com,com,680,874,slocal.com,com,264320,130353,700,883,27
271352,271353,6300,ofmontreal.net,net,680,831,ofmontreal.net,net,276127,6464,668,824,27
270569,270570,2279,siskiyous.edu,edu,682,836,siskiyous.edu,edu,266228,2253,695,835,27
277999,278000,18771,sourcefoundry.org,org,663,774,sourcefoundry.org,org,280698,19019,657,768,27
275560,275561,135790,themedicportal.com,com,669,808,themedicportal.com,com,274602,135341,672,811,27
284890,284891,140286,whiterosemaths.com,com,646,803,whiterosemaths.com,com,283886,139785,649,801,28
285104,285105,140375,thinkgos.com,com,646,740,thinkgos.com,com,285369,140473,646,741,28
280517,280518,138221,lorwritingservice.com,com,657,740,lorwritingservice.com,com,280326,138077,658,741,28
284907,284908,6782,mnpals.net,net,646,795,mnpals.net,net,283502,6724,650,798,28
289509,289510,142529,stuffedsuitcase.com,com,635,876,stuffedsuitcase.com,com,291514,143429,631,880,28
280346,280347,138133,airportshuttles.com,com,657,796,airportshuttles.com,com,281416,138598,655,790,28
283671,283672,19291,ubuntubudgie.org,org,649,792,ubuntubudgie.org,org,282227,19164,653,788,28
284529,284530,140129,oneokrock.com,com,647,785,oneokrock.com,com,287319,141396,641,778,28
284670,284671,140196,quinny.com,com,647,745,quinny.com,com,277092,136491,666,771,28
283823,283824,447,rosuirone.shop,shop,649,750,rosuirone.shop,shop,279860,442,659,763,28
290922,290923,143193,aseantoday.com,com,632,781,aseantoday.com,com,294347,144771,625,791,29
292870,292871,19,pharmacy.ink,ink,628,747,pharmacy.ink,ink,289975,17,635,754,29
291757,291758,143578,cactusleague.com,com,630,821,cactusleague.com,com,285510,140544,645,837,29
295975,295976,145613,strategicmanagementinsight.com,com,621,782,strategicmanagementinsight.com,com,295775,145448,622,771,29
291925,291926,20150,actalliance.org,org,630,753,actalliance.org,org,288682,19835,638,752,29
297842,297843,146485,ecoinwin.com,com,617,781,ecoinwin.com,com,298114,146579,617,776,29
298215,298216,146665,fritzdietlicerink.com,com,616,1413,fritzdietlicerink.com,com,688525,337420,295,929,29
294491,294492,144894,shadesofblueinteriors.com,com,624,1047,shadesofblueinteriors.com,com,298514,146767,616,1058,29
291952,291953,143677,axparis.com,com,630,746,axparis.com,com,313580,153976,587,691,29
298798,298799,1816,douglas.it,it,615,781,douglas.it,it,300538,1827,612,778,29
300431,300432,147707,culturekiosque.com,com,612,722,culturekiosque.com,com,301209,148021,611,716,30
301382,301383,7360,kubatana.net,net,610,718,kubatana.net,net,298310,7254,617,725,30
305988,305989,150367,info-mostbet-uz.com,com,601,676,info-mostbet-uz.com,com,312606,153516,589,664,30
304130,304131,149451,makeoverarena.com,com,604,784,makeoverarena.com,com,301446,148135,610,789,30
307820,307821,151245,xmtlcc.com,com,597,707,xmtlcc.com,com,304133,149442,605,704,30
308750,308751,151694,altius-indonesia.com,com,595,724,altius-indonesia.com,com,308500,151500,596,727,30
306134,306135,150432,ukdirectorylist.com,com,600,790,ukdirectorylist.com,com,309460,151963,594,787,30
309661,309662,152157,tushy.com,com,593,1104,tushy.com,com,304775,149751,603,1093,30
302012,302013,21136,kcrw.org,org,609,694,kcrw.org,org,307218,21642,599,694,30
300969,300970,147978,spychips.com,com,611,704,spychips.com,com,299349,147146,615,708,30
313263,313264,22275,measureevaluation.org,org,587,696,measureevaluation.org,org,313550,22273,587,695,31
316334,316335,155352,modere.com,com,581,747,modere.com,com,313360,153873,587,753,31
317745,317746,22657,phfi.org,org,579,675,phfi.org,org,309173,21836,595,701,31
314451,314452,154409,cyborggaming.com,com,585,676,cyborggaming.com,com,314217,154296,586,675,31
318533,318534,22724,localxlist.org,org,577,915,localxlist.org,org,325684,23418,565,908,31
319650,319651,156971,xuebadaotu.com,com,575,1739,xuebadaotu.com,com,314378,154382,585,1761,31
319184,319185,22790,piecouncil.org,org,576,759,piecouncil.org,org,316059,22517,582,777,31
318992,318993,156665,healthstrives.com,com,577,659,healthstrives.com,com,318784,156482,578,641,31
314729,314730,154550,decksdirect.com,com,584,738,decksdirect.com,com,313946,154153,586,727,31
316189,316190,155288,dealstream.com,com,582,645,dealstream.com,com,320500,157340,575,642,31
324437,324438,23300,faithinpubliclife.org,org,567,713,faithinpubliclife.org,org,322362,23103,571,728,32
326750,326751,1148,commonbond.co,co,563,703,commonbond.co,co,327559,1147,562,705,32
323902,323903,23251,donostia.org,org,568,703,donostia.org,org,321255,23005,573,713,32
325983,325984,8342,al-moharer.net,net,565,609,al-moharer.net,net,326234,8337,565,610,32
323959,323960,159060,soca-valley.com,com,568,689,soca-valley.com,com,325306,159689,566,692,32
327264,327265,1246,santaclaracounty.gov,gov,562,756,santaclaracounty.gov,gov,325733,1236,565,748,32
328257,328258,161152,chattanooga-music.com,com,561,639,chattanooga-music.com,com,326140,160098,565,641,32
322476,322477,23117,medialegislation.org,org,571,646,medialegislation.org,org,325013,23352,567,641,32
328047,328048,23637,kinf.org,org,561,671,kinf.org,org,325378,23393,566,679,32
329317,329318,161665,hypnoticworld.com,com,559,662,hypnoticworld.com,com,335529,164666,549,653,32
334179,334180,164027,adventistbookcenter.com,com,551,657,adventistbookcenter.com,com,337490,165602,546,656,33
332116,332117,163069,hosbeg.com,com,554,705,hosbeg.com,com,332913,163395,553,698,33
337249,337250,165500,northamericanbancard.com,com,546,671,northamericanbancard.com,com,334819,164331,550,673,33
335763,335764,164783,rabbitfoodformybunnyteeth.com,com,548,1755,rabbitfoodformybunnyteeth.com,com,341821,167718,539,1764,33
337907,337908,165792,d3hoops.com,com,545,663,d3hoops.com,com,343367,168436,537,661,33
339476,339477,73,disconnect.blog,blog,543,621,disconnect.blog,blog,341658,72,540,619,33
337343,337344,165534,enchantedcottageshop.com,com,546,654,enchantedcottageshop.com,com,331324,162604,556,658,33
339157,339158,2182,giorgiotave.it,it,543,670,giorgiotave.it,it,334853,2143,550,668,33
330451,330452,162234,airbournerock.com,com,557,672,airbournerock.com,com,333582,163715,552,676,33
335430,335431,164613,drinkdrakes.com,com,549,653,drinkdrakes.com,com,332468,163171,554,662,33
344808,344809,169109,ajaffe.com,com,535,619,ajaffe.com,com,351037,172191,526,610,34
342804,342805,1308,rehousingpackers.in,in,538,616,rehousingpackers.in,in,347009,1330,532,603,34
345717,345718,25250,italianostra.org,org,533,726,italianostra.org,org,351342,25774,525,722,34
340826,340827,167181,scotsman-ice.com,com,541,609,scotsman-ice.com,com,340341,167012,542,610,34
349421,349422,171400,ides.com,com,528,612,ides.com,com,351744,172540,525,606,34
342370,342371,167967,meetglimpse.com,com,538,707,meetglimpse.com,com,339213,166432,543,701,34
340651,340652,167096,nationandstate.com,com,541,636,nationandstate.com,com,339566,166605,543,631,34
341498,341499,167520,megginson.com,com,540,606,megginson.com,com,334550,164197,551,621,34
347575,347576,170483,businessinnovationfactory.com,com,531,589,businessinnovationfactory.com,com,339090,166383,544,591,34
340304,340305,514,brandcycle.shop,shop,541,1414,brandcycle.shop,shop,345813,520,533,1381,34
356341,356342,174787,godoor.com,com,518,622,godoor.com,com,346670,170026,532,647,35
357645,357646,175430,boehlau-verlag.com,com,516,673,boehlau-verlag.com,com,351376,172366,525,682,35
351227,351228,25746,free4pc.org,org,525,646,free4pc.org,org,356558,26238,518,632,35
353755,353756,173546,qq8778ok.com,com,522,588,qq8778ok.com,com,355454,174388,520,586,35
358778,358779,175973,midnight-rant.com,com,515,605,midnight-rant.com,com,358210,175701,516,605,35
355475,355476,174386,beecut.com,com,519,649,beecut.com,com,361640,177372,511,654,35
354039,354040,173680,paul-rand.com,com,521,638,paul-rand.com,com,351537,172430,525,633,35
352191,352192,172753,piaproxy.com,com,524,612,piaproxy.com,com,356724,174980,518,608,35
353070,353071,173208,otctools.com,com,523,580,otctools.com,com,355479,174400,520,582,35
350061,350062,171727,item24.com,com,527,614,item24.com,com,344281,168881,536,622,35
360515,360516,26607,crdfglobal.org,org,513,556,crdfglobal.org,org,365379,27068,507,549,36
366362,366363,1430,shkolnikov.info,info,505,580,shkolnikov.info,info,366607,1425,505,586,36
363167,363168,178137,cinemavillage.com,com,509,599,cinemavillage.com,com,356065,174663,519,601,36
369751,369752,181306,shapermint.com,com,500,647,shapermint.com,com,368496,180656,502,654,36
366658,366659,179834,fixautousa.com,com,504,670,fixautousa.com,com,372417,182556,497,671,36
363480,363481,1720,marathon-bet.top,top,509,560,marathon-bet.top,top,363017,1715,510,557,36
365419,365420,27088,utzcertified.org,org,506,599,utzcertified.org,org,366523,27185,505,594,36
367701,367702,180312,waterbom-bali.com,com,503,597,waterbom-bali.com,com,370363,181543,500,592,36
369995,369996,181410,thetidenewsonline.com,com,500,597,thetidenewsonline.com,com,363405,178227,509,607,36
361895,361896,177494,hotnudepornstar.com,com,511,581,hotnudepornstar.com,com,368209,180518,503,578,36
373575,373576,183162,portescap.com,com,496,534,portescap.com,com,381293,186830,487,528,37
371594,371595,182181,sunkingbrewing.com,com,498,595,sunkingbrewing.com,com,360316,176731,513,616,37
374787,374788,1894,gridplus.io,io,494,586,gridplus.io,io,378464,1913,490,582,37
379772,379773,186140,eserp.com,com,488,571,eserp.com,com,386980,189525,480,565,37
371320,371321,182062,rubbish-inc.com,com,498,662,rubbish-inc.com,com,379005,185718,489,655,37
373124,373125,182936,sayclub.com,com,496,596,sayclub.com,com,368770,180782,502,597,37
371919,371920,182351,bodyjewelry.com,com,498,560,bodyjewelry.com,com,373820,183225,496,561,37
379920,379921,186226,chemistry-labfurniture.com,com,488,557,chemistry-labfurniture.com,com,373763,183197,496,568,37
374683,374684,183667,msgamingcommission.com,com,494,599,msgamingcommission.com,com,368603,180700,502,618,37
377164,377165,184865,forallsecure.com,com,491,587,forallsecure.com,com,380869,186622,487,581,37
380122,380123,186329,workyi.com,com,488,509,workyi.com,com,383046,187648,485,509,38
382461,382462,187426,photokiakotos.com,com,485,547,photokiakotos.com,com,377135,184843,492,555,38
386661,386662,10575,kateharding.net,net,480,559,kateharding.net,net,390549,10678,476,556,38
382525,382526,1792,crickex.top,top,485,540,crickex.top,top,384622,1801,483,537,38
382350,382351,187371,changingthegameproject.com,com,485,558,changingthegameproject.com,com,387954,189990,479,556,38
389998,389999,10690,hsreplay.net,net,476,564,hsreplay.net,net,389656,10644,477,559,38
389234,389235,190659,gomarbeauty.com,com,477,557,gomarbeauty.com,com,395930,193737,470,550,38
387185,387186,189663,smartstepgss.com,com,479,593,smartstepgss.com,com,386739,189420,480,595,38
386465,386466,29009,onoursleeves.org,org,480,577,onoursleeves.org,org,389448,29260,477,586,38
382520,382521,187449,onlineprogrammingbooks.com,com,485,540,onlineprogrammingbooks.com,com,379613,186019,489,543,38
393977,393978,192988,tutorialcup.com,com,472,520,tutorialcup.com,com,399143,195279,467,515,39
393073,393074,192544,ielts-simon.com,com,473,525,ielts-simon.com,com,392655,192201,474,527,39
392953,392954,192471,dilagox.com,com,473,539,dilagox.com,com,393434,192578,473,541,39
391267,391268,191675,hohli.com,com,475,531,hohli.com,com,381269,186820,487,533,39
391723,391724,191885,lostacos1.com,com,474,570,lostacos1.com,com,403335,197272,462,573,39
394590,394591,193296,keyword-hero.com,com,471,549,keyword-hero.com,com,395063,193348,471,549,39
398347,398348,195078,taolasvegas.com,com,467,547,taolasvegas.com,com,389633,190798,477,561,39
394174,394175,10848,thespool.net,net,471,609,thespool.net,net,399383,11007,466,600,39
396838,396839,194357,xatvs.com,com,469,499,xatvs.com,com,395381,193495,471,502,39
397314,397315,194570,cjkitchens.com,com,468,551,cjkitchens.com,com,396850,194160,469,550,39
402936,402937,197211,stackedhomes.com,com,462,560,stackedhomes.com,com,399615,195481,466,558,40
